,author,title,datepublished,isbn13
0,['Susan Arnout Smith'],Out at Night,2009,9780007342877
1,['Susan Arnout Smith'],The Timer Game,2008,9780007265176
2,"['Susan Arnout', 'Susan Arnout Smith']",The Frozen Lady,1983,9780877953685
3,"['Susan Arnout Smith', 'Alexandra Faus']",Todessaat,2010,9783442465026
4,['Susan Arnout'],The Frozen Lady,1984,9780821713389
5,['Susan Arnout Smith'],Timer Game - Spiel auf Zeit,2009,9783641029548
6,['Susan Arnout Smith'],Il gioco di Grace,2008,9788854112650
7,['Susan Arnout Smith'],Timer Game - Spiel auf Zeit,2009,9783442465019
8,"['Smith Susan Arnout', '史密斯', '栖子 ((英語, 1976-))']",計時遊戲,2009,9789861853741
9,['Susan Sleeper-Smith'],Indigenous Prosperity and American Conquest,2018,9781469640594
10,['Bel Mooney'],Bel Mooney's Somerset,2012,9781448209811
11,['Bel Mooney'],Bel Mooney's Lifelines,2015,9781849549684
12,['Bel Mooney'],The Fourth of July,2013,9781448210909
13,['Bel Mooney'],Bel Mooney Pack 1,2003,9781844216291
14,['Bel Mooney'],The Windsurf Boy,2013,9781448211258
15,['Bel Mooney'],Lost Footsteps,2012,9781448209828
16,['Bel Mooney'],The Year of the Child,2013,9781448211265
17,['Bel Mooney'],Bel Mooney: Pack 3,2003,9781844216314
18,['Bel Mooney'],The Anderson Question,2012,9781448210534
19,['Bel Mooney'],A Small Dog Saved My Life,2011,9780007427215
20,['Bel Mooney'],Intimate Letters,1998,9780751522617
21,['Bel Mooney'],Small Dogs Can Save Your Life,2010,9780007318704
22,['Bel Mooney'],Goodbye Pet & See You in Heaven,2016,9781785901546
23,['Bel Mooney'],I Can't Find It!,2002,9780749748258
24,['Bel Mooney'],The Voices of Silence,1998,9780440227588
25,"['Bel Mooney', 'Margaret Chamberlain']",Mr Tubs is Lost!,2004,9781405205863
26,['Bel Mooney'],You Never Did Learn to Knock,2006,9780753458778
27,['Bel Mooney'],I Know!,1991,9781405203708
28,['Dan Ariely'],Payoff,2016,9781501120046
29,['Dan Ariely'],"Predictably Irrational, Revised",2010,9780062018205
30,['Dan Ariely'],"Predictably Irrational, Revised and Expanded Edition",2010,9780061353246
31,['Dan Ariely'],Amazing Decisions,2019,9781466899544
32,['Dr. Dan Ariely'],The Upside of Irrationality (Enhanced Edition),2010,9780062070036
33,['Dan Ariely'],Predictably Irrational,2008,9780061353239
34,"['Dr. Dan Ariely', 'Jeff Kreisler']",Dollars and Sense,2017,9780062651228
35,['Dr. Dan Ariely'],The Irrational Bundle,2013,9780062288745
36,['Dan Ariely'],The (Honest) Truth About Dishonesty: How We Lie to Everyone – Especially Ourselves,2012,9780007477340
37,['Dan Ariely'],The Honest Truth About Dishonesty,2013,9780062183613
38,['Laline Paull'],The Bees,2014,9781443433600
39,['Laline Paull'],The Ice,2018,9780007557776
40,['Laline Paull'],Pod,2023,9781472156624
41,['Laline Paull'],Pod,2023,9781639363728
42,['Laline Paull'],The Bees,2015,9780007557745
43,"['C. Laline Paull', 'Audrey Bazin', 'Melissa Mathison']",Jeff Kowatch,2009,9789090237015
44,['Laline Paull'],Die Bienen,2016,9783426304785
45,['Laline Paull'],Las abejas,2014,9788415709626
46,['Laline Paull'],Das Eis,2018,9783608110463
47,['Laline Paull'],Bees. La fortezza delle api,2015,9788869183744
48,"['Gordon Cooper', 'Bruce Henderson']",Leap of Faith,2018,9781504054232
49,['Bruce B. Henderson'],Trace Evidence,2013,9780989467513
50,"['Carol Simpson Stern', 'Bruce Henderson']",Learning to Perform,2010,9780810126671
51,['Bruce Henderson'],"True North: Peary, Cook, and the Race to the Pole",2006,9780393327380
52,['Bruce Henderson'],Down to the Sea,2009,9780061866531
53,['Bruce Henderson'],Fatal North,2018,9780795352133
54,['Bruce Henderson'],Fatal North,2014,9780989467544
55,['Bruce Henderson'],TRACE EVIDENCE,1998,9780684807089
56,['Bruce Henderson'],Ghetto Cops,2018,9780795352140
57,['Bruce Henderson'],Bridge to the Sun,2022,9780525655824
58,['Rebecca F Kuang'],Yellowface,2024,9780008532819
59,['R.F. Kuang'],The Dragon Republic,2020,9780008455200
60,['Rebecca Kuang'],The Poppy War,2018,9780008239817
61,['Rebecca F. Kuang'],"Babel, Or, The Necessity of Violence",2022,9780063294189
62,['Rebecca F. Kuang'],Babel,2023,9788379648771
63,['Rebecca F. Kuang'],Yellowface,2024,9783751755634
64,['Rebecca F. Kuang'],Poncy bg,2021,9788379646487
65,['Rebecca F. Kuang'],Babel,2023,9783751748384
66,['Lou Berney'],November Road,2018,9780008309367
67,['Lou Berney'],Dark Ride,2023,9780062663863
68,['Lou Berney'],Whiplash River,2012,9780062115294
69,['Lou Berney'],The Long and Faraway Gone,2015,9780062292445
70,['Lou Berney'],Gutshot Straight,2010,9780061963469
71,['Lou Berney'],Gutshot Straight with Bonus Excerpt,2012,9780062213228
72,['Lou Berney'],Double Barrel Bluff,2017,9780062292490
73,['Lou Berney'],Destination Dallas,2019,9783959672702
74,['Lou Berney'],Destination Dallas,2019,9783959678247
75,['Lou Berney'],Seuls les vivants,2021,9791033911494
76,['Lou Berney'],Dark Ride,2024,9780008657147
77,['Lou Berney'],November Road (version française),2019,9791033903567
78,['Lou Berney'],Estradas de outono,2019,9788491392941
79,['Berney Lou Golden'],Effect of Estrogen (Theelin) Upon the Survival Time of Adrenalectomized Guinea Pigs,2021,9781013609015
80,"['Mary Lou Sole', 'Deborah G. Klein', 'Marthe J. Moseley']",Introduction to Critical Care Nursing6,2013,9780323088480
81,"['Mary Lou Sole', 'Deborah Goldenberg Klein', 'Marthe J. Moseley']",Introduction to Critical Care Nursing,2013,9780323294027
82,['Harry Sidebottom'],The Amber Road,2014,9781468309232
83,['HARRY. SIDEBOTTOM'],RETURN.,2020,9781785769634
84,['Harry Sidebottom'],Fire & Sword,2017,9781468315295
85,['Harry Sidebottom'],Lion of the Sun,2011,9781590208724
86,['Harry Sidebottom'],Iron and Rust,2020,9780008449469
87,['Harry Sidebottom'],Fire in the East,2009,9781590203668
88,['Harry Sidebottom'],King of Kings,2010,9781590208281
89,['Harry Sidebottom'],The Caspian Gates,2012,9781468301731
90,['Harry Sidebottom'],"Iron and Rust (Throne of the Caesars, Book 1)",2014,9780007499861
91,['Harry Sidebottom'],The Return,2020,9781785769665
92,['Harry Sidebottom'],Blood and Steel,2017,9781468314236
93,['Harry Sidebottom'],Wolves of the North,2013,9781468307573
94,['Harry Sidebottom'],Warrior of Rome I,2009,9780141032290
95,['Harry Sidebottom'],Ancient Warfare,2004,9780192804709
96,['Harry Sidebottom'],The Amber Road,2013,9780718155957
97,['Harry Sidebottom'],Iron & Rust,2015,9781468311532
98,['Harry Sidebottom'],The Last Hour,2018,9781785764257
99,['Harry Sidebottom'],Falling Sky,2022,9781838778040
100,['Harry Sidebottom'],Blood & Steel,2016,9781468313215
101,['Harry Sidebottom'],King of Kings,2011,9781590206867
102,['Nina Burton'],Notes from a Summer Cottage,2022,9780008467067
103,"['Michael Balfour', 'Penny Bundy', 'Bruce Burton', 'Julie Dunn', 'Nina Woodrow']",Applied Theatre: Resettlement,2015,9781472532633
104,['Nina Burton'],Notizen aus dem Sommerhaus,2023,9783641279417
105,['Nina Burton'],Gutenberggalaxens nova,2016,9789100158989
106,['Nina Burton'],Den nya kvinnostaden,2015,9789100133634
107,"['Charlie Jane Anders', 'Nina Allan', 'Tara Isabella Burton', 'Monica Byrne', 'Rebecca Campbell', 'Aliette de Bodard', 'P. Djèlí Clark', 'Indrapramit Das', 'Alix E. Harrow', 'N. K. Jemisin', 'Margaret Killjoy', 'Cixin Liu', 'Melissa Marr', 'David Nickle', 'Laurie Penny', 'Daniel Polansky', 'Lettie Prell', 'Delia Sherman', 'Angela Slatter', 'Caighlan Smith', 'Lavie Tidhar', 'Rajnar Vajra', 'Genevieve Valentine', 'Carrie Vaughn', 'Alyssa Wong']",Some of the Best from Tor.com: 2016,2017,9780765391957
108,['Nina Burton'],Variationer på imperfekt,2022,9789100197322
109,['Rob Burley'],Why Is This Lying Bastard Lying to Me?: Searching for the Truth on Political TV,2023,9780008542498
110,"['Rob Burley', 'Jonathan Maitland', 'Elana Rhodes Byrd', 'Hugh Cassidy', 'Barbara Cassidy']",Eva Cassidy,2003,9781592400355
111,"['Rob Burley', 'Jonathan Maitland']","Eva Cassidy, Songbird",2001,9780752847795
112,['Rob Burley'],Eva Cassidy,2001,9780752849973
113,"['Robert J. Smith', 'Valerie K. Smith']",Brilliant Cut Glass Catalogs,2011,9780937508299
114,['Rob Osler'],Devil's Chew Toy,2022,9781643859446
115,['Rob Osler'],Devil's Chew Toy,2024,9781639107155
116,"['Rob Ruck', 'Maggie Jones Patterson', 'Michael P. Weber']",Rooney,2010,9780803228283
117,['A.K. Mulford'],The Rogue Crown,2022,9780063291713
118,['A.K. Mulford'],The High Mountain Court,2022,9780063291638
119,['A.K. Mulford'],The Witches' Blade,2022,9780063291676
120,['Ak Mulford'],The High Mountain Court,2021,9780473579067
121,['Ak Mulford'],The Witch Apothecary,2021,9780473596712
122,['A.K. Mulford'],The Evergreen Heir,2023,9780063291751
123,['Ak Mulford'],The High Mountain Court,2021,9780473579074
124,['A.K. Mulford'],The Rogue Crown,2022,9780008596316
125,['A. K. Mulford'],Untitled Book 5,2024,9780008582814
126,['A.K. Mulford'],River of Golden Bones,2023,9780008601782
127,['William T. Vollmann'],Poor People,2007,9780060878825
128,['William T. Vollmann'],The Atlas,1997,9781101523087
129,['William T. Vollmann'],Imperial,2010,9780143118404
130,['William T. Vollmann'],The Lucky Star,2020,9780399563522
131,['William T. Vollmann'],The Atlas,1997,9780140254495
132,['William T. Vollmann'],WHORES FOR GLORIA,2013,9780307827722
133,['William T. Vollmann'],Butterfly Stories,1993,9780802134004
134,['William T. Vollmann'],Argall,2002,9780142001509
135,['Jean Carper'],Stop Aging Now!,2009,9780061952210
136,['Jean Carper'],Miracle Cures,2009,9780061852916
137,['Jean Carper'],100 Simple Things You Can Do to Prevent Alzheimer's and Age-Related Memory Loss,2010,9780316121606
138,['Jean Carper'],Your Miracle Brain,2001,9780060984403
139,['Jean Carper'],Food--Your Miracle Medicine,1994,9780060984243
140,['Jean Carper'],Jean Carper's Total Nutrition Guide,1987,9780553343502
141,['Jean Carper'],The Miracle Heart,2000,9780061013836
142,['Jean Carper'],All-in-One Calorie Counter,1987,9780553263268
143,['Jean Carper'],The All-in-one Calorie Counter,1994,9780553298437
144,['Richard McGregor'],The Party,2012,9780061708763
145,['Richard McGregor'],Asia's Reckoning,2018,9780399562693
146,['Richard McGregor'],Xi Jinping: The Backlash,2019,9781760893040
147,['Richard McGregor'],Asia's Reckoning,2017,9780241248089
148,['Richard McGregor'],Japan Swings,1996,9781864480771
149,"['Nicholas Jones', 'Richard McGregor']",The Music of Peter Maxwell Davies,2020,9781783274833
150,['Richard McGregor'],Easy Sudoku Puzzles,2013,9781492176671
151,['Richard J. A. McGregor'],Islam and the Devotional Object,2020,9781108585064
152,"['James J. McGregor', 'Richard McGregor', 'Alan H. Watt']",Simple C,1997,9780201403855
153,['Steve Dublanica'],Waiter Rant,2009,9780061801235
154,['Steve Dublanica'],Keep the Change,2011,9780061787300
155,['Steve Dublanica'],無名侍,2009,9789867586872
156,['Steve Dublanica'],La resa del conto. Confessioni di un cameriere senza pietà,2009,9788817033046
157,['Ron Rash'],Serena,2009,9780061981982
158,['Ron Rash'],Burning Bright,2011,9780857861344
159,['Ron Rash'],Above the Waterfall,2015,9780062349330
160,['Ron Rash'],Saints at the River,2007,9781429900836
161,['Ron Rash'],Waking,2011,9781891885822
162,['Ron Rash'],One Foot in Eden,2004,9780312423056
163,['Ron Rash'],Something Rich and Strange,2014,9780062349361
164,['Ron Rash'],The Ron Rash Reader,2014,9781611174144
165,['Ron Rash'],The World Made Straight,2007,9781429900850
166,['Ron Rash'],Chemistry and Other Stories,2007,9780312425081
167,['Dennis Lehane'],The Given Day,2009,9780061982286
168,['Dennis Lehane'],Live by Night,2021,9780063083769
169,['Dennis Lehane'],Small Mercies,2023,9780062129505
170,['Dennis Lehane'],Sacred,2009,9780061807664
171,['Dennis Lehane'],Mystic River,2011,9780062068408
172,['Dennis Lehane'],A Drink Before the War,2003,9780156029025
173,['Dennis Lehane'],"Darkness, Take My Hand",2009,9780061807992
174,['Dennis Lehane'],Shutter Island LP,2009,9780061886041
175,['Dennis Lehane'],Shutter Island,2011,9780062068415
176,['Dennis Lehane'],Unti Lehane Novel #11,2019,9780062129529
177,['Veronica Roth'],Divergent,2012,9780062024039
178,['Veronica Roth'],The End and Other Beginnings,2019,9780062796547
179,['Veronica Roth'],Insurgent,2012,9780062114457
180,['Veronica Roth'],Allegiant,2016,9780062024077
181,['Veronica Roth'],Arch-Conspirator,2023,9781250855473
182,['Veronica Roth'],The Divergent Series,2014,9780007538041
183,['Veronica Roth'],Sneak Peek for Arch-Conspirator,2022,9781250909435
184,['Veronica Roth'],Allegiant,2013,9780062209276
185,['Veronica Roth'],"Allegiant (Divergent, Book 3)",2013,9780007444120
186,['Veronica Roth'],Four: A Divergent Collection,2016,9780062421364
187,['Anna Carey'],Once,2012,9780062048561
188,['Anna Carey'],Eve,2012,9780062048516
189,['Anna Carey'],This Is Not the Jess Show,2021,9781683691983
190,['Anna Carey'],Blackbird,2014,9780062299758
191,['Anna Carey'],Rise,2013,9781484416709
192,['Anna Carey'],Deadfall,2015,9780062299789
193,['Anna Carey'],This Is Not the Real World,2022,9781683692829
194,['Anna Carey'],Mollie On The March,2018,9781788490351
195,['Anna Carey'],Rebecca's Rules,2012,9781847175366
196,['Anna Carey'],The Making of Mollie,2016,9781847179036
197,['Mary Curran Hackett'],Proof of Heaven,2011,9780062079992
198,['Mary Curran Hackett'],Proof of Angels,2014,9780062279965
199,['Mary Curran Hackett'],The Capital One Story,2020,9781400218721
200,['Mary Curran Hackett'],The Sephora Story,2020,9781400220595
201,"['Chris Zadeh', 'Matthijs Aler']",Banking the Cloud,2020,9781946633729
202,['Mary CUrran Hackett'],Proof of Heaven,2012,9781617933844
203,['Mary Curran-Hackett'],Good Words,2010,9780867169560
204,['Mary Curran-Hackett'],第一资本,2021,9787121416835
205,"['哈克特 ((女, Hackett, Mary Curran))']",丝芙兰,2022,9787121422997
206,['Amy Garvey'],Pictures of Us,2009,9781426826962
207,['Amy Garvey'],Hot Date,2008,9780758233028
208,['Amy Garvey'],I Love You To Death,2013,9780758282248
209,['Amy Garvey'],Room Service,2013,9780758282965
210,['Amy Garvey'],Christmas Spirit,2012,9781420130287
211,"['Lori Foster', 'Erin McCarthy', 'Amy Garvey']",Bad Boys of Summer,2011,9780758272386
212,"['Amy Garvey', 'MaryJanice Davidson', 'Nancy J. Cohen', 'Jennifer Apodaca']","""Wicked"" Women Whodunit",2011,9780758273727
213,"['Kiersten White', 'Claudia Gray', 'Amy Garvey', 'Jocelyn Davies', 'Anna Carey']",Pitch Dark: Dark Days of Fall Sampler,2011,9780062124548
214,['Amy Jacques Garvey'],Amy Jacques Garvey,2016,9781621902065
215,['Liz Coley'],Pretty Girl-13,2013,9780062127389
216,['Liz Coley'],Pretty Girl Thirteen,2013,9780007468522
217,"['Liz Coley', 'Jaime Lopez Wolters']",Out of Xibalba,2011,9781463556327
218,['Liz Coley'],The Captain's Kid,2016,9781535187718
219,['Liz Coley'],Tor Maddox,2015,9781508875208
220,['Liz Coley'],Tor Maddox,2015,9781511927550
221,['Liz Coley'],Tor Maddox,2015,9781508860808
222,['Matt Sinc'],Winter's Regret,2014,9781940180106
223,['Liz Coley'],Practically Invisible,2015,9781310587467
224,"['Liz Coley', 'Julia Alquézar']",Pretty girl-13,2013,9788467254815
225,['Liz Coley'],Sticks and Stones,2015,9781311974235
226,['Liz Coley'],Tor Maddox,2015,9781311341358
227,"['Cori McCarthy', 'S. E. Green', 'Melody Simpson', 'Liz Coley', 'Amanda Sun', 'Azzurra Nox', 'Lindsey Klingele', 'Demitria Lunetta']",Betty Bites Back,2019,9781074809164
228,['Liz COLEY'],Ecoute-nous,2014,9782258108233
229,"['Around The Block Writers', 'Liz Abrams-Morley', 'Mary Coley', 'Jeanne Goldberg-Leopold', 'MaryAnn L. Miller', 'Tracy Robert', 'Sara Kay Rupnik', 'Andy Sachar', 'Nancy W. Shumaker', 'Kathleen Worrell']",Around the Block on Parnell Square,2012,9780615724676
230,"['Liz Coley', '柯立']",請問我是誰,2013,9789862299869
231,['Liz Coley'],Søt jente 13,2014,9788279007302
232,['Liz Coley'],"Angie, 13 ans, disparue",2013,9782298062281
233,['Liz Coley'],Berövad,2017,9789132162121
234,['Liz Coley'],Scherbenmädchen,2015,9783846600061
235,['Amanda Rettke'],Surprise-Inside Cakes,2014,9780062195333
236,['Amanda Rettke'],Homestead Recipes,2022,9780063008212
237,['Amanda Rettke'],Torte a sorpresa,2016,9788854199392
238,['Nicola Upson'],Fear in the Sunlight,2013,9780062195449
239,['Nicola Upson'],Two for Sorrow,2011,9780062092540
240,['Nicola Upson'],London Rain,2016,9780062418142
241,['Nicola Upson'],Sorry for the Dead,2019,9781683319856
242,['Nicola Upson'],An Expert in Murder,2009,9780061843518
243,['Nicola Upson'],The Dead of Winter,2021,9780571353255
244,['Nicola Upson'],Angel with Two Faces,2010,9780061887383
245,['Nicola Upson'],Nine Lessons,2017,9781683313229
246,['Nicola Upson'],The Secrets of Winter,2020,9781643856353
247,['Nicola Upson'],Dear Little Corpses,2022,9781643859033
248,['Nicola Upson'],The Death of Lucy Kyte,2014,9780062195463
249,['Nicola Upson'],Shot With Crimson,2023,9781639102662
250,['Nicola Upson'],Dear Little Corpses,2023,9780571353293
251,['Nicola Upson'],Stanley and Elsie,2019,9780715653685
252,['Nicola Upson'],Upson,2011,9780571246366
253,['Nicola Upson'],An Expert in Murder,2008,9781407429045
254,['Nicola Upson'],An Expert in Murder,2008,9780739496411
255,['Nicola UPSON'],Weekend à Portmeirion,2013,9782823810349
256,['Nicola Upson'],Week-end à Portmeirion,2013,9782264060624
257,"['Nicola Upson', 'Helaine Blumenfeld']",Mythologies,1998,9780879518806
258,['Nicola Upson'],Experte in Sachen Mord,2023,9783036996370
259,['Nicola UPSON'],Au clair de la mort,2014,9782823801668
260,"['Nicola Upson', 'Adelina Vasiliu']",Un expert în crimă,2009,9789735400149
261,['Nicola Upson'],Mit dem Schnee kommt der Tod,2023,9783036996394
262,['Nicola Upson'],Dorf unter Verdacht,2023,9783036996387
263,['Sean Williams'],Focus,2020,9780367244026
264,['Sean Williams'],Jesus and the Magic Mushroom,2009,9780578020723
265,"['Alexander Mamishev', 'Sean Williams']",Technical Writing for Teams,2011,9780470602690
266,['Sean Williams'],The Blood Debt,2010,9781591028178
267,['Sean Williams'],The Devoured Earth,2012,9781616146276
268,['Sean Williams'],Fatal Alliance: Star Wars Legends (The Old Republic),2011,9780307796042
269,['Sean Williams'],The Ethnomusicologists' Cookbook,2013,9781135519032
270,['Sean Williams'],The Force Unleashed: Star Wars Legends,2011,9780307795953
271,"['Garth Nix', 'Sean Williams']","Have Sword, Will Travel",2017,9781338158489
272,['Sean Williams'],Saturn Returns,2008,9781841495194
273,"['Susan Forward', 'Donna Frazier Glynn']",Mothers Who Can't Love,2013,9780062204356
274,"['Susan Forward', 'Donna Frazier Glynn']",Wenn Mütter nicht lieben,2015,9783641145224
275,"['Susan Forward', 'Donna Frazier-Glynn']",Szantaż emocjonalny,2022,9788374899444
276,"['Susan Forward', 'Donna Frazier Glynn']",Emotionale Erpressung,2014,9783641149888
277,"['Susan Forward', 'Donna Frazier-Glynn']","Matki, które nie potrafią kochać",2019,9788366200180
278,"['Susan Forward', 'Donna Frazier-Glynn']",Szantaz emocjonalny Jak sie obronic przed manipulacja i wykorzystaniem,2017,9788374897037
279,"['Susan Forward', 'Donna Frazier']",Szantaz emocjonalny,2011,9788374893138
280,['Susan Forward'],"Matki, które nie potrafią kochać",2014,9788328016750
281,['Marion Jensen'],Almost Super,2014,9780062209634
282,['Marion Jensen'],Desolation Sound,2016,9781460271988
283,['Marion Jensen'],Searching for Super,2015,9780062209603
284,['Marion Jensen'],Desolation Sound,2016,9781460271971
285,['Marion Siebert Jensen'],PLACE TO CALL HOME,2016,9781498492911
286,"['Jeffrey Jensen Arnett Ph.D.', 'Marion Kloep Ph.D.', 'Leo B. Hendry Ph.D.', 'Jennifer L. Tanner Ph.D.']",Debating Emerging Adulthood,2011,9780190454159
287,['Lindsay Cummings'],Lindsay Cummings Book 2,2023,9780008297534
288,['Lindsay Cummings'],The Murder Complex,2014,9780062220028
289,['Lindsay Cummings'],The Murder Complex #2: The Death Code,2015,9780062220059
290,"['Sasha Alsberg', 'Lindsay Cummings']",Zenith,2018,9781488026034
291,['Lindsay Cummings'],"Balance Keepers, Book 1: The Fires of Calderon",2014,9780062275202
292,['Lindsay Cummings'],"Balance Keepers, Book 2: The Pillars of Ponderay",2015,9780062275233
293,['Lindsay Cummings'],Blood Metal Bone,2021,9780008292805
294,['Lindsay Cummings'],"Balance Keepers, Book 3: The Traitor of Belltroll",2016,9780062275264
295,['Lindsay Cummings'],The Fear Trials,2014,9780062289568
296,['Lindsay B. Cummings'],Empathy as Dialogue in Theatre and Performance,2016,9781137593269
297,"['Sasha Alsberg', 'Lindsay Cummings']",Nexus,2019,9780008228378
298,"['Sasha Alsberg', 'Lindsay Cummings']",Zenith Part 1,2016,9781488031373
299,"['Laurie Forest', 'Kaitlyn Sage Patterson', 'Amanda Foody']",Fantasy Books Box Set,2019,9781488054365
300,"['Sasha Alsberg', 'Lindsay Cummings']",Zenith,2016,9781311167606
301,"['Sasha Alsberg', 'Lindsay Cummings']","Nexus (The Androma Saga, Book 2)",2019,9780008228361
302,"['E. Caroline Wylie', 'Arlen R. Gullickson', 'Katharine E. Cummings', 'Paula E. Egelson', 'Lindsay Akers Noakes', 'Kelley M. Norman', 'Sally A. Veeder']",Improving Formative Assessment Practice to Empower Student Learning,2012,9781452283692
303,"['Sasha Alsberg', 'Lindsay Cummings']",Zénit,2018,9786075276328
304,['Jacqueline Winspear'],Birds of a Feather,2015,9781616956325
305,['Jacqueline Winspear'],Maisie Dobbs,2014,9781616954079
306,['Jacqueline Winspear'],Pardonable Lies,2007,9781429900997
307,['Jacqueline Winspear'],A Lesson in Secrets,2011,9780062079237
308,['Jacqueline Winspear'],The American Agent,2019,9780062436696
309,['Jacqueline Winspear'],Leaving Everything Most Loved,2013,9780062049629
310,['Jacqueline Winspear'],Maisie Dobbs,2022,9781504074575
311,['Jacqueline Winspear'],The Consequences of Fear,2021,9780062868039
312,['Jacqueline Winspear'],A Dangerous Place,2015,9780062220578
313,['Jacqueline Winspear'],Messenger of Truth,2010,9781429901017
314,['Jacqueline Winspear'],Elegy for Eddie,2012,9780062049599
315,['Jacqueline Winspear'],Among the Mad,2010,9781429919753
316,['Jacqueline Winspear'],The White Lady,2023,9780749029180
317,['Jacqueline Winspear'],Pardonable Lies,2013,9780749013974
318,['Jacqueline Winspear'],To Die but Once,2018,9780062436658
319,['Jacqueline Winspear'],What Would Maisie Do?,2019,9780062859341
320,['Jacqueline Winspear'],Among the Mad,2012,9780749013820
321,['Jacqueline Winspear'],This Time Next Year We'll Be Laughing,2020,9781641292696
322,['Jacqueline Winspear'],In This Grave Hour,2017,9780062436603
323,['Jacqueline Winspear'],An Incomplete Revenge,2010,9781429924641
324,"['Michel Bataille', 'Harold J. Salemson']",The Christmas Tree,1969,9780719520419
325,['Jacqueline Winspear'],A Sunlit Weapon,2022,9780063142282
326,['Jacqueline Winspear'],The Mapping of Love and Death LP,2010,9780061987540
327,['Jacqueline Winspear'],"Maisie Dobbs Bundle #2, An Incomplete Revenge and Among the Mad",2011,9781429994668
328,['Jacqueline Winspear'],Maisie Dobbs,2005,9780719566226
329,['Jacqueline Winspear'],Journey to Munich,2016,9780062220622
330,['Jacqueline Winspear'],Maisie Dobbs Bundle #3: The Mapping of Love and Death and A Lesson in Secrets,2014,9780062354587
331,['Jacqueline Winspear'],Maisie Dobbs Bundle #4: Elegy for Eddie and Leaving Everything Most Loved,2014,9780062365927
332,['Susan Albers'],Eating Mindfully,2009,9781458748294
333,['Susan Albers'],50 Ways to Soothe Yourself Without Food,2009,9781572249721
334,['Susan Albers'],"Eat, Drink, and Be Mindful",2009,9781572246157
335,['Susan Albers'],But I Deserve This Chocolate!,2011,9781608820573
336,['Susan Albers'],50 More Ways to Soothe Yourself Without Food,2015,9781626252547
337,['Susan Albers'],Eat Q,2013,9780062222794
338,"['Susan Albers, Psy.D.']",Mindful Eating 101,2013,9781135424398
339,['Susan Albers'],Eating Mindfully for Teens,2018,9781684030057
340,['Susan Albers'],Quit Comfort Eating,2013,9780749959456
341,['Susan Albers'],Hanger Management,2019,9780316524551
342,['Stephanie Evanovich'],The Total Package,2016,9780062234872
343,['Stephanie Evanovich'],Under the Table,2019,9780062415936
344,['Stephanie Evanovich'],Big Girl Panties,2013,9780062224866
345,['Stephanie Evanovich'],The Sweet Spot,2014,9780062234834
346,['Stephanie Evanovich'],The Total Package [Large Print]/ Stephanie Evanovich,2016,9781628445039
347,['Stephanie Evanovich'],Big Girl Panties,2013,9780062224842
348,['Stephanie Rowe'],Gone Rogue (A Mia Murphy Mystery),2023,9781940968988
349,['Stephanie Bond'],Tempt Me Twice,2004,9780373836604
350,['Stephanie Rowe'],Top Notch (A Mia Murphy Mystery),2022,9781940968964
351,['Stephanie Caffrey'],Even Money,2017,9781974286393
352,['Stephanie Rowe'],Top Notch,2022,9781940968995
353,['Stephanie Yuhas'],American Goulash,2014,9781935961734
354,['Stephanie Yuhas'],American Goulash,2014,9781796481600
355,['Stephanie Thompson'],Love Yourself First,2019,9781795599092
356,['Stephanie Caffrey'],Vegas Stripped,2014,9781503221635
357,['Stephanie Y. Thompson'],Love Yourself First,2017,9781977502223
358,"['Ian Noah', ""Mike's Math Club"", 'Stephanie Logan']",Mike's Math Club Presents the Monstrously Fun Fraction Book,2003,9780964642515
359,['Stephanie Kadel-Taras'],On Solid Rock: The Founding Vision of Florida Presbyterian/Eckerd College,2008,9780615255736
360,['Stephanie Bond'],Body Movers: 2 Bodies for the Price of 1,2012,9781460311783
361,['Stephanie Evanovich'],Bir Kadin Nasil Büyür,2014,9786050920857
362,['Stephanie McAfee'],Down and Out in Bugtussle,2013,9780451239907
363,['Stephanie Taylor'],Wild Tropics,2016,9780153765018
364,['Stephanie Bond'],2 Bodies for the Price of 1,2013,9780989042987
365,['Stephanie Mittman'],A Taste of Honey,1995,9780061083945
366,['Stephanie Plowman'],Three Lives for the Czar,1970,9780395070321
367,"['Stephanie Fowler', 'Wright Group, Incorporated']",A Cat's Day,1999,9780322003569
368,['Stephanie McAfee'],Happily Ever Madder,2012,9781101607107
369,['Yangsze Choo'],The Night Tiger,2019,9781250175441
370,['Yangsze Choo'],The Ghost Bride,2014,9780062227331
371,['Yangsze Choo'],The Fox Wife,2024,9781529429756
372,['Yangsze Choo'],The Fox Wife,2024,9781250329509
373,['Yangsze Choo'],The Fox Wife,2024,9781529429787
374,['Yangsze Choo'],The Ghost Bride Indigo Ed,2013,9780062321961
375,['Yangsze Choo'],The Ghost Bride,2020,9788324072088
376,['Yangsze Choo'],The Night Tiger,2020,9781250759863
377,['Yangsze Choo'],The ghost bride. La sposa fantasma.,2020,9788830509535
378,['Yangsze Choo'],El tigre nocturno,2020,9786070767548
379,['Yangsze Choo'],The Ghost Bride,2014,9786021637357
380,['Yangsze Choo'],La novia fantasma,2013,9788415709510
381,['Yangsze Choo'],Schattenbraut,2022,9783641261818
382,['Yangsze Choo'],Nachttiger,2019,9783641242817
383,['朱洋熹（Yangsze Choo）'],彼岸之嫁,2020,9789865406387
384,['Yangsze Choo'],A Noiva Fantasma,2020,9786555980202
